name,question,response
Golf Channel,stop,
Golf Channel,quit,
Golf Channel,"Alexa, open Golf Channel","Sorry, I’m not sure about that."
Golf Channel,help,"For Help, please visit the help pages on the Amazon web site."
Golf Channel,stop,
Golf Channel,quit,
The Economist Espresso,"Alexa, open The Economist Espresso"
The Economist Espresso,help,"The Economist Espresso can read articles from Today’s agenda, the World in Brief or Quote of the Day. What would you like to do? You can say Today’s Agenda, the World in Brief, or Quote of the Day."
The Economist Espresso,stop,Okay. Goodbye.
The Economist Espresso,quit,
The Economist Espresso,"Alexa, open The Economist Espresso","Welcome to The Economist Espresso. I can tell you Today’s agenda, the World in Brief or Quote of the Day. How can I help you?"
The Economist Espresso,help,"The Economist Espresso can read articles from Today’s agenda, the World in Brief or Quote of the Day. What would you like to do? You can say Today’s Agenda, the World in Brief, or Quote of the Day."
The Economist Espresso,stop,Okay. Goodbye.
The Economist Espresso,quit,
The Economist Espresso,"Alexa, open The Economist Espresso","Welcome to The Economist Espresso. I can tell you Today’s agenda, the World in Brief or Quote of the Day. How can I help you?"
The Economist Espresso,help,"The Economist Espresso can read articles from Today’s agenda, the World in Brief or Quote of the Day. What would you like to do? You can say Today’s Agenda, the World in Brief, or Quote of the Day."
The Economist Espresso,stop,Okay. Goodbye.
The Economist Espresso,quit,
New England Patriots,"Alexa, open New England Patriots",
New England Patriots,help,"For Help, please visit the help pages on the Amazon web site."
New England Patriots,stop,
New England Patriots,quit,
New England Patriots,"Alexa, open New England Patriots",
New England Patriots,help,"For Help, please visit the help pages on the Amazon web site."
New England Patriots,stop,
New England Patriots,quit,
New England Patriots,"Alexa, open New England Patriots",
New England Patriots,help,"For Help, please visit the help pages on the Amazon web site."
New England Patriots,stop,
New England Patriots,quit,
CBS Radio News Hourly News Cast,"Alexa, open CBS Radio News Hourly News Cast",I could not find a station named cbs radio news hourly news castCannotFindStationPromptMusic.PlayStationIntenten_USdefault3fdf983c-c996-4146-a09d-365e983065151Adm-20180212_202339-1
CBS Radio News Hourly News Cast,help,"For Help, please visit the help pages on the Amazon web site."
CBS Radio News Hourly News Cast,stop,
CBS Radio News Hourly News Cast,quit,
CBS Radio News Hourly News Cast,"Alexa, open CBS Radio News Hourly News Cast",I could not find a station named cbs radio news hourly news castCannotFindStationPromptMusic.PlayStationIntenten_USdefault3fdf983c-c996-4146-a09d-365e983065151Adm-20180212_202339-1
CBS Radio News Hourly News Cast,help,"For Help, please visit the help pages on the Amazon web site."
CBS Radio News Hourly News Cast,stop,
CBS Radio News Hourly News Cast,quit,
CBS Radio News Hourly News Cast,"Alexa, open CBS Radio News Hourly News Cast",I could not find a station named cbs radio news hourly news castCannotFindStationPromptMusic.PlayStationIntenten_USdefault3fdf983c-c996-4146-a09d-365e983065151Adm-20180212_202339-1
CBS Radio News Hourly News Cast,help,"For Help, please visit the help pages on the Amazon web site."
CBS Radio News Hourly News Cast,stop,
CBS Radio News Hourly News Cast,quit,
WTF Just Happened Today,"Alexa, open WTF Just Happened Today",You have This Day in History enabled. Do you want to open it?
WTF Just Happened Today,Yes,Welcome to this day in History. From history.com.
WTF Just Happened Today,help,"The History skill can tell you about events that happened today or any other day in history. You can say things like tomorrow, or June 6th. What month and day would you like to hear about?"
WTF Just Happened Today,stop,Goodbye.
WTF Just Happened Today,quit,
WTF Just Happened Today,"Alexa, open WTF Just Happened Today",You have This Day in History enabled. Do you want to open it?
WTF Just Happened Today,Yes,Welcome back to this day in History. From history.com. What month and day would you like to hear about?
WTF Just Happened Today,help,"The History skill can tell you about events that happened today or any other day in history. You can say things like tomorrow, or June 6th. What month and day would you like to hear about?"
WTF Just Happened Today,stop,Goodbye.
WTF Just Happened Today,quit,
WTF Just Happened Today,"Alexa, open WTF Just Happened Today",You have This Day in History enabled. Do you want to open it?
WTF Just Happened Today,Yes,Welcome back to this day in History. From history.com. What month and day would you like to hear about?
WTF Just Happened Today,help,"The History skill can tell you about events that happened today or any other day in history. You can say things like tomorrow, or June 6th. What month and day would you like to hear about?"
WTF Just Happened Today,stop,Goodbye.
WTF Just Happened Today,quit,
One America News Live,"Alexa, open One America News Live","Hmm, I don't know that one."
One America News Live,help,"For Help, please visit the help pages on the Amazon web site."
One America News Live,stop,
One America News Live,quit,
One America News Live,"Alexa, open One America News Live","Sorry, I'm not sure."
One America News Live,help,"For Help, please visit the help pages on the Amazon web site."
One America News Live,stop,
One America News Live,quit,
One America News Live,"Alexa, open One America News Live","Hmm, I'm not sure."
