name,question,response
publix chicken tender subs,"Alexa, open publix chicken tender subs","Sorry, I don't know that one."
publix chicken tender subs,help,"For Help, please visit the help pages on the Amazon web site."
publix chicken tender subs,stop,
publix chicken tender subs,quit,
My Deal,"Alexa, open My Deal",<Audio only response>
My Deal,help,"For Help, please visit the help pages on the Amazon web site."
My Deal,stop,
My Deal,quit,
My Deal,"Alexa, open My Deal",<Audio only response>
My Deal,help,"For Help, please visit the help pages on the Amazon web site."
My Deal,stop,
My Deal,quit,
My Deal,"Alexa, open My Deal",This feature is only available for Prime members.
My Deal,help,"For Help, please visit the help pages on the Amazon web site."
My Deal,stop,
My Deal,quit,
B&H Photo Deal Zone,"Alexa, open B&H Photo Deal Zone","Sorry, I’m not sure about that."
B&H Photo Deal Zone,help,"For Help, please visit the help pages on the Amazon web site."
B&H Photo Deal Zone,stop,
B&H Photo Deal Zone,quit,
B&H Photo Deal Zone,"Alexa, open B&H Photo Deal Zone","Sorry, I don't know that one."
B&H Photo Deal Zone,help,"For Help, please visit the help pages on the Amazon web site."
B&H Photo Deal Zone,stop,
B&H Photo Deal Zone,quit,
B&H Photo Deal Zone,"Alexa, open B&H Photo Deal Zone","Hmm, I don't know that one."
B&H Photo Deal Zone,help,"For Help, please visit the help pages on the Amazon web site."
B&H Photo Deal Zone,stop,
B&H Photo Deal Zone,quit,
Ship.com Automatic Package Tracker,"Alexa, open Ship.com Automatic Package Tracker","Welcome to the Ship.com Beta! I’ve sent you instructions to your Alexa app. To get started, you’ll have to login, or create a Ship.com account using the Alexa app."
Ship.com Automatic Package Tracker,help,"For Help, please visit the help pages on the Amazon web site."
Ship.com Automatic Package Tracker,stop,
Ship.com Automatic Package Tracker,quit,
Ship.com Automatic Package Tracker,"Alexa, open Ship.com Automatic Package Tracker","Welcome to the Ship.com Beta! I’ve sent you instructions to your Alexa app. To get started, you’ll have to login, or create a Ship.com account using the Alexa app."
Ship.com Automatic Package Tracker,help,"For Help, please visit the help pages on the Amazon web site."
Ship.com Automatic Package Tracker,stop,
Ship.com Automatic Package Tracker,quit,
