name,question,response
Hashtag Roundup,"Alexa, open Hashtag Roundup",<Audio only response>
Hashtag Roundup,help,"For Help, please visit the help pages on the Amazon web site."
Hashtag Roundup,stop,
Hashtag Roundup,quit,
Three Day Rule's 30-Day Dating Challenge,"Alexa, open Three Day Rule's 30-Day Dating Challenge","Ok, Here's 30 Day Pushup Challenge"
Three Day Rule's 30-Day Dating Challenge,help,"Welcome to 30 day pushup challenge. It doesn't look like you have any challenges currently running. Would you like to start a new challenge?. Each challenge lasts 30 days. By taking small incremental steps, you should be able to do 100 consecutive pushups at the end of the month. Say yes to begin a new challenge."
Three Day Rule's 30-Day Dating Challenge,stop,
Three Day Rule's 30-Day Dating Challenge,quit,
True Or False: Sports Edition,"Alexa, open True Or False: Sports Edition",<Short audio>
True Or False: Sports Edition,help,"You are playing ‘True or False’, a fun game you can play alone or with friends. You can play from 1 up to 20 players. How many players would like to play this time?"
True Or False: Sports Edition,stop,Thanks for playing True Or False.
True Or False: Sports Edition,quit,
Lock Him Up,"Alexa, open Lock Him Up",<Audio only response>
Lock Him Up,help,"For Help, please visit the help pages on the Amazon web site."
Lock Him Up,stop,
Lock Him Up,quit,
What's Your Story?,"Alexa, open What's Your Story?",You have Stock Prices by Opening Bell enabled. Do you want to open it?
What's Your Story?,Yes,What stock price would you like me to look up?
What's Your Story?,help,"I can tell you the stock price of any publicly traded company such as Apple, Tesla, Microsoft, and many more. Which would you like?"
What's Your Story?,stop,O.K.
What's Your Story?,quit,
Ham Buffet,"Alexa, open Ham Buffet",You have Ham Lookup enabled. Do you want to open it?
Ham Buffet,Yes,Ask me to lookup a US call sign
Ham Buffet,help,Ask me to lookup a US call sign
Ham Buffet,stop,Bye!
Ham Buffet,quit,
Daily Romantic Gesture,"Alexa, open Daily Romantic Gesture",Daily Romantic Gesture contains mature content that may not be suitable for all ages
Daily Romantic Gesture,help,"For Help, please visit the help pages on the Amazon web site."
Daily Romantic Gesture,stop,
Daily Romantic Gesture,quit,
Trump Lie of the Day,"Alexa, open Trump Lie of the Day","Welcome to Trumpdown unofficial. I can answer how many years, months, weeks, days, hours, minutes, or seconds until Donald Trump is out of office."
Trump Lie of the Day,help,"I can answer how many years, months, weeks, days, hours, minutes, or seconds until Donald Trump is out of office."
Trump Lie of the Day,stop,Sanity will be restored in 1 year 8 months 23 days 14 hours 24 minutes and 14 seconds
Trump Lie of the Day,quit,
Olabot,"Alexa, open Olabot",<Audio only response>
Olabot,help,"For Help, please visit the help pages on the Amazon web site."
Olabot,stop,
Olabot,quit,
Forever Recognize Others' Greatness,"Alexa, open Forever Recognize Others' Greatness",<Audio only response>
Forever Recognize Others' Greatness,help,"For Help, please visit the help pages on the Amazon web site."
Forever Recognize Others' Greatness,stop,
Forever Recognize Others' Greatness,quit,
Guest Reception,"Alexa, open Guest Reception",You have Stock Prices by Opening Bell enabled. Do you want to open it?
Guest Reception,Yes,What stock price would you like me to look up?
Guest Reception,help,"I can tell you the stock price of any publicly traded company such as Apple, Tesla, Microsoft, and many more. Which would you like?"
Guest Reception,stop,O.K.
Guest Reception,quit,
Slack with Voice,"Alexa, open Slack with Voice",Hello. Welcome to Slack with Voice! I am an unofficial Voice User Interface for Slack. You can send and read Slack messages directly from here. Comeback once you've linked your Slack account using the card I just sent to your Alexa app.
Slack with Voice,help,"For Help, please visit the help pages on the Amazon web site."
Slack with Voice,stop,
Slack with Voice,quit,
Starfish Me,"Alexa, open Starfish Me",<Audio only response>
Starfish Me,help,"For Help, please visit the help pages on the Amazon web site."
Starfish Me,stop,
Starfish Me,quit,
Message Board,"Alexa, open Message Board",You have Chessboard enabled. Do you want to open it?
Message Board,Yes,Let's play Chess. Resuming an existing gameThe board is on your display
Message Board,help,"This is a chess game. You make a move by saying, for example: Move Pawn to d 4 Need time to think? No problem. I remember your current game. You may also ask me to Restart game or undo last move You can watch the game board in the Alexa app or at alexa or on the display if your device has oneYou can say I want a tipTo start playing, please say your move. For example, say pawn to E4."
Message Board,stop,au revoir
Message Board,quit,
Grandmother Names,"Alexa, open Grandmother Names",You have Stock Prices by Opening Bell enabled. Do you want to open it?
Grandmother Names,Yes,What stock price would you like me to look up?
Grandmother Names,help,"I can tell you the stock price of any publicly traded company such as Apple, Tesla, Microsoft, and many more. Which would you like?"
Grandmother Names,stop,O.K.
Grandmother Names,quit,
Roger and Anne,"Alexa, open Roger and Anne",<Audio only response>
Roger and Anne,help,"For Help, please visit the help pages on the Amazon web site."
Roger and Anne,stop,
Roger and Anne,quit,
Toymail Talkie,"Alexa, open Toymail Talkie",You have Stock Prices by Opening Bell enabled. Do you want to open it?
Toymail Talkie,Yes,What stock price would you like me to look up?
Toymail Talkie,help,"I can tell you the stock price of any publicly traded company such as Apple, Tesla, Microsoft, and many more. Which would you like?"
Toymail Talkie,stop,O.K.
Toymail Talkie,quit,
Cafe On Ice,"Alexa, open Cafe On Ice",You have Stock Prices by Opening Bell enabled. Do you want to open it?
Cafe On Ice,Yes,What stock price would you like me to look up?
Cafe On Ice,help,"I can tell you the stock price of any publicly traded company such as Apple, Tesla, Microsoft, and many more. Which would you like?"
Cafe On Ice,stop,O.K.
Cafe On Ice,quit,
complaint listener,"Alexa, open complaint listener",What is wrong today?
complaint listener,help,"You can complain to me about your day, job, or life and I will listen to you. Or you can say exit... What can I help you with?"
complaint listener,stop,Goodbye!
complaint listener,quit,
Mail Reader,"Alexa, open Mail Reader","Sorry, I'm having trouble accessing your Mail Reader skill right now"
Mail Reader,help,"For Help, please visit the help pages on the Amazon web site."
