name,question,response
MailHaven Package Tracker,"""Alexa ask mailhaven where is my last package""",Please use the Alexa app to link your account with MailHaven.
MailHaven Package Tracker,quit,
MailHaven Package Tracker,quit,
Edmunds,"""Alexa, ask Edmunds how much is the Ford Escape?""","Hmm. Maybe the skill, Edmunds, can help. Do you want to try it?"
Edmunds,quit,
Edmunds,"""Alexa, ask Edmunds what is my car worth today?""",
Edmunds,quit,
Edmunds,quit,
Edmunds,"""Alexa, ask Edmunds when is my next service due?""",
Edmunds,quit,
Edmunds,quit,
eBags,"""Alexa, ask e. bags where is my order?""",I didn't find any open orders for Yichen
eBags,quit,
eBags,"""Alexa, ask e. bags where is my laptop backpack?""",I didn't understand. Would you like package delivery notifications?
eBags,quit,
eBags,quit,
eBags,"""Alexa, ask e. bags i want to return an item""",
eBags,quit,
eBags,quit,
Product Feedback,"""Alexa launch Product Feedback""","Hello What product do you want to talk about? If you're going to feedback on shampoo, just say shampoo, for laundry products just say laundry"
Product Feedback,quit,
Product Feedback,"""Alexa open Product Feedback""","Hello What product do you want to talk about? If you're going to feedback on shampoo, just say shampoo, for laundry products just say laundry"
Product Feedback,quit,
Product Feedback,quit,
Product Feedback,"""Alexa, open Poll Taker""","In order for me to ask you the right questions, you'll need to tell me which poll you'd like to take. for example, if the poll you want to take is called the banana poll, then say, 'take the banana poll'."
Product Feedback,quit,
Product Feedback,quit,
My Grocer,"""alexa, open my grocer""","Hmm, I don't know that one."
My Grocer,quit,
My Grocer,"""alexa, open my grocer""","Sorry, I don't know that one."
My Grocer,"""alexa, ask my grocer to add banana""",You have My Chef - Kitchen Assistant by Chefling enabled. Do you want to open it?
My Grocer,quit,
My Grocer,"""alexa, open my grocer""","Hmm, I don't know that."
My Grocer,"""alexa, ask my grocer what do I have in my shopping list""",You have 5 items on your shopping list.
My Grocer,quit,
Kit,"""Alexa, ask Kit what's the best gaming keyboard?""",Hmmm… I don’t understand
Kit,quit,
Kit,"""Alexa, ask Kit for yoga mat recommendations.""",You have Easy Yoga enabled. Do you want to open it?
Kit,Yes,<Audio only response>
Kit,"""Alexa, ask Kit for yoga mat recommendations.""",You have Easy Yoga enabled. Do you want to open it?
Kit,quit,
Kit,quit,
Kit,"""Alexa, ask Kit to recommend me hair spray.""","Sorry, I don't know that one."
Kit,quit,
Kit,quit,
BatteryBoot,"""Alexa, ask battery boot where to buy it?""",You have Best Buy enabled. Do you want to open it?
BatteryBoot,Yes,"Welcome to Best Buy! You can discover Best Buy's Deals of the day, check the status of your order, and get store hours and locations. Or, for frequently asked questions and tech tips, you can say things like, 'how to set a default printer' or 'help with my Best Buy credit card'. If you link your Best Buy account in the Alexa app, you can also buy Best Buy products. What can I help you with today?"
BatteryBoot,"""Alexa, ask battery boot where to buy it?""","I'm sorry, I don't understand. You can hear Best Buy deals, check the status of your order, and get store hours and locations. Or, you can try things like, 'how to set a default printer' or 'help with my Best Buy credit card'. How can I help?"
BatteryBoot,quit,
BatteryBoot,"""Alexa, ask battery boot when will you be released?""","Sorry, I’m not sure about that."
BatteryBoot,quit,
BatteryBoot,quit,
BatteryBoot,"""Alexa, ask battery boot for info?""","Sorry, I’m not sure about that."
BatteryBoot,quit,
BatteryBoot,quit,
Purell,"""Alexa, open Purell.""","Hmm, I don't know that."
Purell,quit,
Purell,"""Alexa, ask Purell to take me to the Hand Hygiene Center.""",
Purell,quit,
Purell,quit,
Purell,"""Alexa, ask Purell to buy hand sanitizer.""",You have Best Buy enabled. Do you want to open it?
Purell,Yes,"Welcome to Best Buy! You can discover Best Buy's Deals of the day, check the status of your order, and get store hours and locations. Or, for frequently asked questions and tech tips, you can say things like, 'how to set a default printer' or 'help with my Best Buy credit card'. If you link your Best Buy account in the Alexa app, you can also buy Best Buy products. What can I help you with today?"
Purell,"""Alexa, ask Purell to buy hand sanitizer.""","I'm sorry, I don't understand. You can hear Best Buy deals, check the status of your order, and get store hours and locations. Or, you can try things like, 'how to set a default printer' or 'help with my Best Buy credit card'. How can I help?"
Purell,quit,
Purell,quit,
Stupid Deal,"""Alexa, ask stupid deal what's today's deal""",This feature is only available for Prime members.
Stupid Deal,quit,
Stupid Deal,"""Alexa, ask Woot for the daily deal.""",You have Woot enabled. Do you want to open it?
Stupid Deal,Yes,Welcome to Woot! Which category's deal would you like to hear about?
